step,seed1,seed2,seed0
0,266.511901855469,269.606872558594,251.491912841797
80000,846.32666015625,919.332885742188,887.978820800781
160000,974.909851074219,963.683959960938,966.424438476563
240000,989.852233886719,983.961242675781,994.056030273438
320000,991.6826171875,984.073547363281,996.708374023438
400000,983.833374023438,978.588073730469,976.892272949219
480000,989.6103515625,990.294311523438,981.608215332031
560000,982.870483398438,990.567565917969,994.714050292969
640000,997.3623046875,978.939453125,992.537231445312
720000,994.4619140625,994.147827148437,964.601379394531
800000,995.49951171875,997.584594726563,997.636596679688
880000,998.513671875,997.918762207031,997.969421386719
960000,997.927062988281,998.886413574219,996.282104492187
1040000,997.67431640625,375.957183837891,999.265625
1120000,999.023803710938,966.4169921875,999.193054199219
1200000,999.096374511719,981.520385742187,998.791870117188
1280000,999.234497070312,976.480163574219,999.296997070313
1360000,998.6689453125,983.641418457031,998.7802734375
1440000,992.22705078125,995.736633300781,999.0673828125
1520000,995.526672363281,997.699829101563,996.67431640625
1600000,993.538391113281,998.027954101562,990.999633789063
1680000,915.908508300781,996.282043457031,998.517578125
1760000,965.892761230469,998.66015625,998.037719726563
1840000,984.484069824219,998.300415039063,996.804321289063
1920000,987.867370605469,996.638366699219,998.990112304688
2000000,990.494506835938,998.445434570312,999.056335449219
2080000,993.012023925781,998.156127929687,998.745300292969
2160000,998.1015625,997.488403320313,998.16748046875
2240000,993.647583007813,995.774597167969,999.096984863281
2320000,991.83837890625,996.240417480469,998.19970703125
2400000,988.745300292969,998.870788574219,999.028503417969
2480000,997.563293457031,998.673706054688,981.347045898437
2560000,994.568359375,998.506042480469,999.3466796875
2640000,999.284362792969,998.807800292969,996.952941894531
2720000,998.994812011719,999.041320800781,998.600891113281
2800000,999.345825195313,995.094543457031,997.754089355469
2880000,999.08056640625,999.064453125,998.243530273438
2960000,999.019409179688,998.992553710938,996.460754394531
