step,time
0,14.5049610137939
40000,324.411957502365
80000,676.504458904266
120000,1030.72355532646
160000,1385.35708975792
200000,1743.08434200287
240000,2095.69894742966
280000,2449.50735378265
320000,2802.272564888
360000,3158.687479496
400000,3512.66873240471
440000,3864.89771080017
480000,4219.38542461395
520000,4572.19802451134
560000,4925.10703182221
600000,5279.84862279892
640000,5634.93212556839
680000,5990.45191431046
720000,6345.35421514511
760000,6702.70573067665
800000,7058.13371133804
840000,7414.28452801704
880000,7768.85035133362
920000,8123.07149529457
960000,8478.09236907959
1000000,8833.08051300049
1040000,9187.46546530724
1080000,9541.82256245613
1120000,9897.9838540554
1160000,10253.8537652493
1200000,10610.9406707287
1240000,10969.1324396133
1280000,11321.9774694443
1320000,11678.9681155682
1360000,12032.0758829117
1400000,12387.1410193443
1440000,12741.5595021248
1480000,13096.4520382881
1520000,13466.9688766003
1560000,13848.7685706615
1600000,14224.0052189827
1640000,14589.9675855637
1680000,14957.6284029484
1720000,15319.009067297
1760000,15674.5570485592
1800000,16035.4394817352
1840000,16394.5457513332
1880000,16753.0891032219
1920000,17112.2897806168
1960000,17472.6690075398
2000000,17830.9238102436
2040000,18191.9496884346
2080000,18553.315600872
2120000,18909.852991581
2160000,19270.5029573441
2200000,19632.1232478619
2240000,19993.3880159855
2280000,20353.3528101444
2320000,20711.1532607079
2360000,21073.6756441593
2400000,21436.8460204601
2440000,21811.9673202038
2480000,22182.7096681595
2520000,22553.8216602802
2560000,22922.584287405
2600000,23295.4754209518
2640000,23666.8722448349
2680000,24039.3785691261
2720000,24407.4760892391
2760000,24776.4099721909
2800000,25138.9718081951
2840000,25503.2064702511
2880000,25868.0961298943
2920000,26227.11952281
2960000,26584.7086308002
3000000,26945.1201431751
3040000,27302.1437609196
3080000,27658.6286277771
3120000,28017.1209712028
3160000,28374.1080181599
3200000,28731.5091097355
3240000,29090.8999438286
3280000,29449.35333395
3320000,29807.1151223183
3360000,30165.8365180492
3400000,30523.2386369705
3440000,30881.7969112396
3480000,31239.3916761875
3520000,31598.1313478947
3560000,31958.5919063091
3600000,32319.9630932808
3640000,32678.7496311665
3680000,33037.7433698177
3720000,33395.1866359711
3760000,33751.2979552746
3800000,34105.8365855217
3840000,34461.6509618759
3880000,34819.426923275
3920000,35176.0041255951
3960000,35533.901512146
4000000,35894.1539888382
